Source,Target,Weight
Ecuador,Colombia,0.0016722408026755853
Ecuador,Costa Rica,0.00919732441471572
United States,Canada,0.006215951948596173
United States,Mexico,0.004283652279182381
United States,The Bahamas,0.004679424500628579
United States,Cuba,0.0003259300647203986
Australia,New Caledonia,0.005775991963837268
Australia,Indonesia,0.0025113008538422904
Indonesia,Australia,0.0006327111673521037
Indonesia,Papua New Guinea,0.002214489085732363
Indonesia,Malaysia,0.00031635558367605187
Indonesia,Joint development area Australia/East Timor,0.0012654223347042075
Canada,United States,0.035047951176983436
"Virgin Islands, British",Anguilla,0.09090909090909091
"Virgin Islands, British",Puerto Rico,0.09659090909090909
"Virgin Islands, British","Bonaire, Sint-Eustasius, Saba",0.005681818181818182
Dominican Republic,Puerto Rico,0.037162162162162164
Dominican Republic,Haiti,0.010135135135135136
Dominican Republic,Turks & Caicos Is.,0.060810810810810814
Dominican Republic,The Bahamas,0.016891891891891893
Puerto Rico,Dominican Republic,0.13612565445026178
Puerto Rico,"Virgin Islands, British",0.06282722513089005
Puerto Rico,Venezuela,0.005235602094240838
Jamaica,Haiti,0.014705882352941176
Jamaica,Colombia,0.00980392156862745
Jamaica,Joint regime Colombia/Jamaica,0.014705882352941176
Jamaica,Cuba,0.004901960784313725
Colombia,Jamaica,0.0005837711617046118
Colombia,Panama,0.02568593111500292
Colombia,Nicaragua,0.0005837711617046118
Colombia,Ecuador,0.0035026269702276708
Colombia,Costa Rica,0.015178050204319907
Panama,Colombia,0.03356031128404669
Panama,Costa Rica,0.010700389105058366
Costa Rica,Ecuador,0.01107011070110701
Costa Rica,Colombia,0.007380073800738007
Costa Rica,Panama,0.023985239852398525
Costa Rica,Nicaragua,0.004612546125461255
Turks & Caicos Is.,Dominican Republic,0.041666666666666664
Turks & Caicos Is.,The Bahamas,0.09114583333333333
Mauritius,Seychelles,0.034482758620689655
French Southern & Antarctic Lands,Madagascar,0.06040268456375839
French Southern & Antarctic Lands,Mozambique,0.087248322147651
French Southern & Antarctic Lands,Comoros,0.006711409395973154
French Southern & Antarctic Lands,Mayotte,0.006711409395973154
French Southern & Antarctic Lands,Mauritius,0.006711409395973154
Cape Verde,Senegal,0.004395604395604396
Portugal,Morocco,0.0045045045045045045
Portugal,Spain,0.05405405405405406
Spain,France,0.0053475935828877
