Source,Target,Weight
Ecuador,Costa Rica,0.03240223463687151
Ecuador,Colombia,0.013407821229050279
United States,The Bahamas,0.007709190672153635
United States,Canada,0.021810699588477367
United States,Mexico,0.016104252400548698
United States,Cuba,0.00041152263374485596
United States,Bermuda,0.0006584362139917696
Australia,Papua New Guinea,0.0010744985673352436
Australia,New Caledonia,0.00035816618911174784
Australia,Indonesia,0.009312320916905445
Indonesia,Christmas I.,0.0025575447570332483
Indonesia,Australia,0.0076726342710997444
Indonesia,Papua New Guinea,0.005967604433077579
Indonesia,Malaysia,0.0008525149190110827
Indonesia,Timor-Leste,0.00042625745950554135
Canada,United States,0.10405643738977072
Bermuda,United States,0.005846153846153846
Bermuda,Canada,0.0003076923076923077
"Virgin Islands, British",Antigua & Barbuda,0.03333333333333333
"Virgin Islands, British",Anguilla,0.18666666666666668
"Virgin Islands, British",Dominican Republic,0.20666666666666667
"Virgin Islands, British",Venezuela,0.02666666666666667
"Virgin Islands, British","Bonaire, Sint-Eustasius, Saba",0.006666666666666667
"Virgin Islands, British",Turks & Caicos Is.,0.04
Dominican Republic,Puerto Rico,0.23076923076923078
Dominican Republic,Jamaica,0.04326923076923077
Dominican Republic,Turks & Caicos Is.,0.10576923076923077
Dominican Republic,The Bahamas,0.12980769230769232
Dominican Republic,Haiti,0.028846153846153848
Dominican Republic,"Virgin Islands, British",0.02403846153846154
Dominican Republic,Anguilla,0.014423076923076924
Dominican Republic,Cuba,0.004807692307692308
Dominican Republic,Venezuela,0.004807692307692308
Puerto Rico,Dominican Republic,0.3333333333333333
Puerto Rico,Venezuela,0.016666666666666666
Puerto Rico,Anguilla,0.10555555555555556
Puerto Rico,"Virgin Islands, British",0.2
Puerto Rico,Turks & Caicos Is.,0.07777777777777778
Puerto Rico,Antigua & Barbuda,0.027777777777777776
Puerto Rico,"Bonaire, Sint-Eustasius, Saba",0.005555555555555556
Puerto Rico,Netherlands Antilles,0.005555555555555556
Puerto Rico,St. Kitts & Nevis,0.011111111111111112
Jamaica,Haiti,0.05670103092783505
Jamaica,Colombia,0.0979381443298969
Jamaica,Cayman Is.,0.010309278350515464
Jamaica,Cuba,0.030927835051546393
Jamaica,Joint regime Colombia/Jamaica,0.05154639175257732
Jamaica,Honduras,0.010309278350515464
Colombia,Jamaica,0.0012755102040816326
Colombia,Panama,0.10841836734693877
Colombia,Costa Rica,0.0625
Colombia,Ecuador,0.010841836734693877
Colombia,Honduras,0.001913265306122449
Colombia,Nicaragua,0.002551020408163265
Panama,Nicaragua,0.0005580357142857143
Panama,Costa Rica,0.02734375
Panama,Colombia,0.12332589285714286
Costa Rica,Ecuador,0.04639684106614018
Costa Rica,Colombia,0.05824284304047384
Costa Rica,Nicaragua,0.023692003948667325
Costa Rica,Panama,0.05725567620927937
Mauritius,Seychelles,0.020833333333333332
Mauritius,French Southern & Antarctic Lands,0.020833333333333332
Cape Verde,Senegal,0.022058823529411766
Cape Verde,Mauritania,0.004901960784313725
Portugal,Morocco,0.025806451612903226
Portugal,Spain,0.15483870967741936
Spain,France,0.014084507042253521
Spain,Morocco,0.16901408450704225
Spain,Portugal,0.051643192488262914
United Kingdom,France,0.178743961352657
United Kingdom,Spain,0.004830917874396135
United Kingdom,Ireland,0.11594202898550725
France,United Kingdom,0.09090909090909091
France,Spain,0.12396694214876033
France,Ireland,0.06611570247933884
Morocco,Spain,0.19696969696969696
Ireland,France,0.08333333333333333
Ireland,United Kingdom,0.5
Mexico,United States,0.025659133709981168
Mexico,Clipperton Island,0.00015693659761456373
Mexico,Cuba,0.011142498430634024
