EEZ;HSComm
53;1.0
54;nan
120;4.0
52;nan
215;4.0
119;2.0
121;6.0
118;1.0
186;nan
105;nan
228;nan
14;2.0
1;nan
6;6.0
7;2.0
2;5.0
5;nan
163;2.0
245;8.0
12;1.0
13;nan
4;10.0
8;1.0
86;1.0
9;2.0
15;1.0
16;nan
17;nan
37;nan
22;3.0
24;6.0
28;2.0
36;nan
19;1.0
35;nan
18;8.0
231;2.0
29;5.0
21;nan
23;2.0
25;2.0
27;nan
32;3.0
20;2.0
34;4.0
26;nan
31;1.0
30;nan
43;nan
40;9.0
49;1.0
225;nan
45;1.0
46;4.0
59;nan
39;6.0
56;6.0
55;6.0
57;10.0
50;7.0
51;1.0
48;9.0
41;3.0
58;7.0
61;2.0
62;2.0
47;1.0
42;2.0
63;5.0
64;nan
90;3.0
69;1.0
70;2.0
65;3.0
71;2.0
3;3.0
72;7.0
73;5.0
76;1.0
258;3.0
214;3.0
77;nan
78;nan
82;nan
81;10.0
79;1.0
83;3.0
80;3.0
150;4.0
87;6.0
246;3.0
89;nan
98;nan
91;6.0
92;nan
99;3.0
232;3.0
100;3.0
75;6.0
96;2.0
93;5.0
95;2.0
94;9.0
97;7.0
84;2.0
101;2.0
103;1.0
104;2.0
60;5.0
108;1.0
107;1.0
33;1.0
111;3.0
109;8.0
110;nan
106;3.0
112;5.0
114;2.0
117;nan
122;nan
116;1.0
123;nan
124;1.0
127;nan
38;1.0
217;2.0
212;4.0
126;8.0
128;nan
130;nan
132;3.0
133;5.0
218;2.0
134;nan
216;1.0
135;nan
136;nan
129;nan
194;nan
156;3.0
152;nan
151;nan
138;1.0
141;1.0
149;9.0
144;4.0
137;nan
142;nan
143;5.0
158;1.0
154;nan
153;nan
172;4.0
157;1.0
146;3.0
155;nan
147;1.0
139;nan
140;4.0
148;1.0
159;1.0
164;1.0
167;nan
170;1.0
168;6.0
166;7.0
169;nan
162;3.0
161;nan
160;4.0
165;1.0
174;1.0
175;1.0
177;7.0
183;1.0
181;7.0
182;4.0
176;4.0
178;4.0
184;nan
187;2.0
171;nan
185;3.0
180;nan
88;nan
85;1.0
188;8.0
189;1.0
190;nan
192;nan
199;8.0
220;8.0
200;3.0
204;nan
211;1.0
193;1.0
115;3.0
208;4.0
203;3.0
74;7.0
197;5.0
209;1.0
219;nan
201;nan
198;6.0
221;2.0
206;nan
207;nan
224;nan
205;nan
202;1.0
226;nan
241;2.0
44;nan
234;nan
230;1.0
235;nan
240;nan
233;1.0
236;10.0
237;2.0
238;5.0
239;5.0
242;4.0
227;4.0
229;1.0
243;nan
244;nan
248;4.0
250;3.0
247;9.0
251;nan
195;2.0
254;2.0
256;2.0
255;4.0
252;1.0
257;nan
196;nan
259;1.0
210;1.0
260;nan
261;nan
179;4.0
11;nan
131;nan
223;nan
102;2.0
67;1.0
68;3.0
66;nan
145;2.0
249;2.0
10;nan
191;9.0
222;nan
173;3.0
213;nan
253;nan
113;5.0
125;4.0
0;1.0
