EEZ;newid
Antarctica;0
Antarctica;1
Antarctica;2
Antarctica;3
Antarctica;4
Antarctica;5
Antarctica;6
Antarctica;7
Antarctica;8
Antarctica;9
Antarctica;10
Antarctica;11
Antarctica;12
Antarctica;13
Antarctica;14
Antarctica;15
Antarctica;16
Antarctica;17
Antarctica;18
Antarctica;19
Antarctica;20
Antarctica;21
Antarctica;22
Antarctica;23
Antarctica;24
Antarctica;25
Antarctica;26
Antarctica;27
Antarctica;28
Antarctica;29
Antarctica;30
Antarctica;31
Antarctica;32
Antarctica;33
Antarctica;34
Antarctica;35
Antarctica;36
Antarctica;37
Antarctica;38
Antarctica;39
Antarctica;40
Antarctica;41
Antarctica;42
Antarctica;43
Antarctica;44
Antarctica;45
Antarctica;46
Antarctica;47
Antarctica;48
Antarctica;49
Antarctica;50
Antarctica;51
Antarctica;52
Antarctica;53
Antarctica;54
Antarctica;55
Antarctica;56
Antarctica;57
Antarctica;58
Antarctica;59
Antarctica;60
Antarctica;61
Antarctica;62
Antarctica;63
Antarctica;64
Antarctica;65
Antarctica;66
Antarctica;67
Antarctica;68
Antarctica;69
Antarctica;70
Antarctica;71
Antarctica;72
Antarctica;73
Antarctica;74
Antarctica;75
Antarctica;76
Antarctica;77
Antarctica;78
Antarctica;79
Antarctica;80
Antarctica;81
Antarctica;82
Antarctica;83
Antarctica;84
Antarctica;85
Antarctica;86
Antarctica;87
Antarctica;88
Antarctica;89
Antarctica;90
Antarctica;91
Antarctica;92
Antarctica;93
Antarctica;94
Antarctica;95
Antarctica;96
Antarctica;97
Antarctica;98
Antarctica;99
Antarctica;100
Antarctica;101
Antarctica;102
Antarctica;103
Antarctica;104
Antarctica;105
Antarctica;106
Antarctica;107
Antarctica;108
Antarctica;109
Antarctica;110
Antarctica;111
Antarctica;112
Antarctica;113
Antarctica;114
Antarctica;115
Antarctica;116
Antarctica;117
Antarctica;118
Antarctica;119
Antarctica;120
Antarctica;121
Antarctica;122
Antarctica;123
Antarctica;124
Antarctica;125
Antarctica;126
Antarctica;127
Antarctica;128
Antarctica;129
Antarctica;130
Antarctica;131
Antarctica;132
Antarctica;133
Antarctica;134
Antarctica;135
Antarctica;136
Antarctica;137
Antarctica;138
Antarctica;139
Antarctica;140
Antarctica;141
Antarctica;142
Antarctica;143
Antarctica;144
Antarctica;145
Antarctica;146
Antarctica;147
Antarctica;148
Antarctica;149
Antarctica;150
Antarctica;1888
Antarctica;1904
Antarctica;1906
Antarctica;1911
Antarctica;1913
Antarctica;1916
Antarctica;1917
Antarctica;1955
Antarctica;1968
Antarctica;1988
Antarctica;1991
Antarctica;1992
Antarctica;2004
Antarctica;2025
Antarctica;2032
Antarctica;2044
Antarctica;2051
Antarctica;2054
Antarctica;2056
