newid,Species,EEZ,timestay (1/30days),timestay^2 (1/30days)
0,0,8,30.0,900.0
1,0,8,30.0,900.0
2,0,8,30.000000000000004,900.0000000000002
3,0,8,30.0,900.0
4,0,8,30.0,900.0
5,0,8,30.0,900.0
6,0,8,30.0,900.0
7,0,8,30.0,900.0
8,0,8,30.0,900.0
9,0,8,29.999999999999996,899.9999999999998
10,0,8,30.0,900.0
11,0,8,30.0,900.0
12,0,8,30.0,900.0
13,0,8,30.0,900.0
14,0,8,30.0,900.0
15,0,8,30.0,900.0
16,0,8,29.999999999999996,899.9999999999998
17,0,8,30.0,900.0
18,0,8,30.0,900.0
19,0,8,29.999999999999996,899.9999999999998
20,0,8,30.0,900.0
21,0,8,30.0,900.0
22,0,8,29.999999999999996,899.9999999999998
23,0,8,30.0,900.0
24,0,8,29.999999999999996,899.9999999999998
25,0,8,30.0,900.0
26,0,8,30.0,900.0
27,0,8,30.0,900.0
28,0,8,30.0,900.0
29,0,8,30.000000000000004,900.0000000000002
30,0,8,30.0,900.0
31,0,8,29.999999999999996,899.9999999999998
32,0,8,30.0,900.0
33,0,8,30.0,900.0
34,0,8,30.000000000000004,900.0000000000002
35,0,8,30.0,900.0
36,0,8,30.0,900.0
37,0,8,30.000000000000004,900.0000000000002
38,0,8,30.0,900.0
39,0,8,30.0,900.0
40,0,8,30.0,900.0
41,0,8,29.999999999999996,899.9999999999998
42,0,8,30.0,900.0
43,0,8,30.0,900.0
44,0,8,30.000000000000004,900.0000000000002
45,0,8,30.0,900.0
46,0,8,30.0,900.0
47,0,8,30.0,900.0
48,0,8,30.0,900.0
49,0,8,30.0,900.0
50,0,8,30.0,900.0
51,0,8,30.0,900.0
52,0,8,30.0,900.0
53,0,8,30.0,900.0
54,0,8,30.0,900.0
55,0,8,30.000000000000004,900.0000000000002
56,0,8,30.0,900.0
57,0,8,30.000000000000004,900.0000000000002
58,0,8,29.999999999999996,899.9999999999998
59,0,8,29.999999999999996,899.9999999999998
60,0,8,30.0,900.0
61,0,8,30.0,900.0
62,0,8,30.0,900.0
63,0,8,30.0,900.0
64,0,8,30.0,900.0
65,0,8,30.0,900.0
66,0,8,30.0,900.0
67,0,8,30.0,900.0
68,0,8,29.999999999999996,899.9999999999998
69,0,8,30.0,900.0
70,0,8,30.0,900.0
71,0,8,30.0,900.0
72,0,8,30.0,900.0
73,0,8,30.000000000000004,900.0000000000002
74,0,8,30.000000000000004,900.0000000000002
75,0,8,30.0,900.0
76,0,8,30.0,900.0
77,0,8,30.0,900.0
78,0,8,30.0,900.0
79,0,8,30.0,900.0
80,0,8,30.0,900.0
81,0,8,29.999999999999996,899.9999999999998
82,0,8,30.000000000000004,900.0000000000002
83,0,8,30.0,900.0
84,0,8,30.0,900.0
85,0,8,30.0,900.0
86,0,8,30.000000000000004,900.0000000000002
87,0,8,29.999999999999996,899.9999999999998
88,0,8,30.0,900.0
89,0,8,30.0,900.0
90,0,8,30.0,900.0
91,0,8,30.0,900.0
92,0,8,30.0,900.0
93,0,8,30.0,900.0
94,0,8,30.0,900.0
95,0,8,30.000000000000004,900.0000000000002
96,0,8,29.999999999999996,899.9999999999998
97,0,8,30.0,900.0
98,0,8,30.0,900.0
99,0,8,30.0,900.0
100,0,8,30.0,900.0
101,0,8,30.0,900.0
102,0,8,30.0,900.0
103,0,8,30.000000000000004,900.0000000000002
104,0,8,29.999999999999996,899.9999999999998
105,0,8,30.0,900.0
106,0,8,30.0,900.0
107,0,8,29.999999999999996,899.9999999999998
108,0,8,30.0,900.0
109,0,8,30.0,900.0
110,0,8,30.000000000000004,900.0000000000002
111,0,8,30.0,900.0
112,0,8,30.000000000000004,900.0000000000002
113,0,8,30.0,900.0
114,0,8,30.0,900.0
115,0,8,30.0,900.0
116,0,8,30.000000000000004,900.0000000000002
117,0,8,30.0,900.0
118,0,8,30.0,900.0
119,0,8,30.0,900.0
120,0,8,30.0,900.0
121,0,8,30.0,900.0
122,0,8,30.0,900.0
123,0,8,30.0,900.0
124,0,8,30.0,900.0
125,0,8,30.0,900.0
126,0,8,29.999999999999996,899.9999999999998
127,0,8,30.0,900.0
128,0,8,30.000000000000004,900.0000000000002
129,0,8,30.0,900.0
130,0,8,30.0,900.0
131,0,8,30.000000000000004,900.0000000000002
132,0,8,30.0,900.0
133,0,8,30.0,900.0
134,0,8,30.0,900.0
135,0,8,30.000000000000004,900.0000000000002
136,0,8,30.0,900.0
137,0,8,29.999999999999996,899.9999999999998
138,0,8,30.0,900.0
139,0,8,30.0,900.0
140,0,8,30.0,900.0
141,0,8,29.999999999999996,899.9999999999998
142,0,8,30.000000000000004,900.0000000000002
143,0,8,30.0,900.0
144,0,8,30.0,900.0
145,0,8,30.000000000000004,900.0000000000002
146,0,8,30.0,900.0
147,0,8,30.0,900.0
148,0,8,30.0,900.0
149,0,8,30.0,900.0
150,0,8,30.0,900.0
151,1,40,10.515164247458376,110.56867915102687
151,1,247,19.484835752541624,379.65882430352434
152,1,40,18.115509273360708,328.1716762332178
152,1,149,0.37274824438123577,0.13894125368929347
152,1,247,11.511742482258056,132.52021497782485
153,1,40,29.999999999999996,899.9999999999998
154,1,0,0.8335917920725986,0.6948752758108064
154,1,25,0.522636874452194,0.27314930253715836
154,1,40,26.043731501538172,678.2759505242117
