EEZ;Int
-1;-1
Afghanistan;0
Albania;1
Algeria;2
American Samoa;3
Andorra;4
Angola;5
Anguilla;6
Antarctica;7
Antigua & Barbuda;8
Area en controversia (disputed - Peruvian point of view);9
Area of overlap Australia/Indonesia;10
Argentina;11
Armenia;12
Aruba;13
Australia;14
Austria;15
Azerbaijan;16
Bahrain;17
Bangladesh;18
Barbados;19
Belarus;20
Belgium;21
Belize;22
Benin;23
Bermuda;24
Bhutan;25
Bolivia;26
Bonaire, Sint-Eustasius, Saba;27
Bosnia & Herzegovina;28
Botswana;29
Bouvet I.;30
Brazil;31
British Indian Ocean Territory;32
Brunei;33
Bulgaria;34
Burkina Faso;35
Burundi;36
Cambodia;37
Cameroon;38
Canada;39
Cape Verde;40
Cayman Is.;41
Central African Republic;42
Chad;43
Chile;44
China;45
Christmas I.;46
Clipperton Island;47
Cocos Is.;48
Colombia;49
Comoros;50
Conflict zone China/Japan/Taiwan;51
Conflict zone Japan/Russia;52
Conflict zone Japan/South Korea;53
Congo;54
Congo, DRC;55
Cook Is.;56
Costa Rica;57
Cote d'Ivoire;58
Croatia;59
Cuba;60
Curaçao;61
Cyprus;62
Czech Republic;63
Denmark;64
Disputed Barbados/Trinidad & Tobago;65
Disputed Kenya/Somalia;66
Disputed Western Sahara/Mauritania;67
Djibouti;68
Dominica;69
Dominican Republic;70
Ecuador;71
Egypt;72
El Salvador;73
Equatorial Guinea;74
Eritrea;75
Estonia;76
Ethiopia;77
Falkland Islands;78
Faroe Is.;79
Fiji;80
Finland;81
France;82
French Guiana;83
French Polynesia;84
French Southern & Antarctic Lands;85
Gabon;86
Gaza Strip;87
Georgia;88
Germany;89
Ghana;90
Gibraltar;91
Greece;92
Greenland;93
Grenada;94
Guadeloupe;95
Guatemala;96
Guernsey;97
Guinea;98
Guinea-Bissau;99
Guyana;100
Haiti;101
Heard I. & McDonald Is.;102
Honduras;103
Hungary;104
Iceland;105
India;106
Indonesia;107
Iran;108
Iraq;109
Ireland;110
Israel;111
Italy;112
Jamaica;113
Jan Mayen;114
Japan;115
Jersey;116
Joint development area Australia/East Timor;117
Joint regime Colombia/Jamaica;118
Joint regime Japan/Korea;119
Joint regime Nigeria/Sao Tome and Principe;120
Jordan;121
Kazakhstan;122
Kenya;123
Kiribati;124
Kuwait;125
Kyrgyzstan;126
Laos;127
Latvia;128
Lebanon;129
Lesotho;130
Liberia;131
Libya;132
Liechtenstein;133
Lithuania;134
Luxembourg;135
Macedonia;136
Madagascar;137
Malawi;138
Malaysia;139
Maldives;140
Mali;141
Malta;142
Marshall Is.;143
Martinique;144
Mauritania;145
Mauritius;146
Mayotte;147
Mexico;148
Micronesia;149
Moldova;150
Monaco;151
Mongolia;152
Montenegro;153
Montserrat;154
Morocco;155
Mozambique;156
Myanmar;157
Namibia;158
Nauru;159
Nepal;160
Netherlands;161
Netherlands Antilles;162
New Caledonia;163
New Zealand;164
Nicaragua;165
Niger;166
Nigeria;167
Niue;168
Norfolk I.;169
North Korea;170
Northern Marinana Islands-Guam;171
Norway;172
Oman;173
Pakistan;174
Palau;175
Panama;176
Papua New Guinea;177
Paracel Islands;178
Paraguay;179
Peru;180
Philippines;181
Pitcairn Is.;182
Poland;183
Portugal;184
Protected zone Australia/Papua New Guinea;185
Puerto Rico;186
Qatar;187
Reunion;188
Romania;189
Russia;190
Rwanda;191
Saint Helena, Ascension en Tristan da Cunha;192
Saint Martin;193
Saint Vincent and the Grenadines;194
Samoa;195
San Marino;196
Sao Tome & Principe;197
Saudi Arabia;198
Senegal;199
Serbia;200
Seychelles;201
Sierra Leone;202
Singapore;203
Sint Maarten;204
Slovakia;205
Slovenia;206
Solomon Is.;207
Somalia;208
South Africa;209
South Georgia & the South Sandwich Is.;210
South Korea;211
South Sudan;212
Spain;213
Spratly Islands;214
Sri Lanka;215
St. Kitts & Nevis;216
St. Lucia;217
St. Pierre & Miquelon;218
Sudan;219
Suriname;220
Svalbard;221
Swaziland;222
Sweden;223
Switzerland;224
Syria;225
Taiwan;226
Tajikistan;227
Tanzania;228
Thailand;229
The Bahamas;230
The Gambia;231
Timor-Leste;232
Togo;233
Tokelau;234
Tonga;235
Trinidad & Tobago;236
Tunisia;237
Turkey;238
Turkmenistan;239
Turks & Caicos Is.;240
Tuvalu;241
Uganda;242
Ukraine;243
United Arab Emirates;244
United Kingdom;245
United States;246
United States Minor Outlying Islands;247
United States Virgin Islands;248
Uruguay;249
Uzbekistan;250
Vanuatu;251
Vatican City;252
Venezuela;253
Vietnam;254
Virgin Islands, British;255
Wallis & Futuna;256
Western Sahara;257
Yemen;258
Zambia;259
Zimbabwe;260
