Species;Int
Adelie penguin;0
Arctic Herring gull;1
Ascension frigatebird;2
Atlantic puffin;3
Audouins gull;4
Australian fur seal;5
Australian sea lion;6
Baraus petrel;7
Beluga whale;8
Black-browed albatross;9
Black-footed albatross;10
Blacktip shark;11
Blue shark;12
Blue whale;13
Bottlenose dolphin;14
Bowhead whale;15
Broad-billed prion;16
Broadnose sevengill shark;17
Bull shark;18
Bullers albatross;19
California sea lion;20
Chinstrap penguin;21
Common eider;22
Common murre;23
Common thresher shark;24
Copper shark;25
Corys shearwater;26
Crabeater seal;27
Crested tern;28
Dugong;29
Dusky shark;30
Emperor penguin;31
Fin whale;32
Flatback turtle;33
Galapagos sea lion;34
Galapagos shark;35
Gray whale;36
Great hammerhead shark;37
Great shearwater;38
Green turtle;39
Grey seal;40
Grey-headed albatross;41
Harbour seal;42
Hawksbill turtle;43
Humpback whale;44
Ivory gull;45
Kemps Ridley turtle;46
Killer whale;47
King eider;48
King penguin;49
Laysan albatross;50
Leatherback turtle;51
Leopard seal;52
Little penguin;53
Loggerhead turtle;54
Long-nosed fur seal;55
Longfin mako shark;56
Macaroni penguin;57
Manx shearwater;58
Masked booby;59
Murphys petrel;60
Narwhal;61
New Zealand sea lion;62
Northern Right whale;63
Northern elephant seal;64
Northern fulmar;65
Northern fur seal;66
Northern gannet;67
Ocean sunfish;68
Oceanic manta ray;69
Oceanic whitetip shark;70
Olive Ridley turtle;71
Parasitic jaeger;72
Pelagic thresher shark;73
Polar bear;74
Porbeagle shark;75
Razorbill;76
Red-tailed tropic bird;77
Reef manta ray;78
Ringed seal;79
Ross gull;80
Sabines gull;81
Salmon shark;82
Sandbar shark;83
Sandtiger shark;84
Scalloped hammerhead shark;85
Scopolis shearwater;86
Sei whale;87
Short-finned pilot whale;88
Short-tailed shearwater;89
Shortfin mako shark;90
Silky shark;91
Smooth hammerhead shark;92
Sooty shearwater;93
Sooty tern;94
South American sea lion;95
Southern elephant seal;96
Southern right whale;97
Sperm whale;98
Streaked shearwater;99
Thick-billed murre;100
Tiger shark;101
Trindade petrel;102
Wandering albatross;103
Weddell seal;104
Wedge-tailed shearwater;105
West Indian manatee;106
Western gull;107
Whale shark;108
White shark;109
White-tailed tropic bird;110
