sorted_countries_species,importances
United States,0.9999907329906152
Australia,9.266998988991687e-6
Canada,3.922147124919218e-12
Antarctica,1.6883178173296541e-12
Greenland,1.6080973955408897e-12
-1,1.4101596164440681e-12
Russia,1.0808137662374165e-12
Mexico,6.862807651594106e-13
Ecuador,2.0969420920178804e-26
New Zealand,1.3882348126574066e-26
"Saint Helena, Ascension en Tristan da Cunha",6.475404453012183e-27
Heard I. & McDonald Is.,7.47637917830609e-33
South Georgia & the South Sandwich Is.,4.6274701008200374e-33
Colombia,2.394560839122448e-38
South Africa,1.4526880565564154e-38
French Southern & Antarctic Lands,4.467361394207797e-39
Spain,2.080691506578162e-39
New Caledonia,1.0750880457250781e-39
Indonesia,8.608988952542142e-40
Chile,5.293574600397714e-40
Bouvet I.,4.1438242993868745e-40
Portugal,2.2818092933598614e-40
Panama,2.156725477299241e-40
Ireland,2.3731252655344147e-42
Morocco,6.631428663870011e-43
France,1.8108305191855177e-43
United Kingdom,1.64054545904333e-43
Falkland Islands,1.010565838945913e-43
Uruguay,1.001281408052745e-43
Argentina,6.527240909388975e-44
Iceland,5.850925731976626e-44
French Polynesia,1.421740476988235e-44
Pitcairn Is.,1.2437104851824109e-44
Italy,5.732587395664402e-45
Brazil,4.582370555993469e-45
Conflict zone Japan/Russia,1.0668139021284613e-45
Japan,1.4336446095003591e-46
United States Minor Outlying Islands,9.611139610249966e-47
Clipperton Island,1.8608945175064887e-47
Costa Rica,4.111774198620076e-48
The Bahamas,1.9113670151806443e-48
Norfolk I.,2.457942449867079e-50
Bermuda,1.9484969746628494e-50
Cayman Is.,1.9107225824560085e-50
Cuba,1.842928943018137e-50
Dominican Republic,1.8090321231576467e-50
Norway,3.7312640525072335e-52
Papua New Guinea,3.44461714287854e-52
Faroe Is.,2.7268564252380042e-52
Netherlands,1.9116653840035706e-52
Denmark,1.849689548652492e-52
Belgium,1.40805403100536e-52
Germany,1.2725180206005128e-52
Reunion,2.0678095868026562e-53
Guatemala,1.8205794208829637e-53
Mozambique,1.3195890145197783e-53
El Salvador,1.2516483518570376e-53
Namibia,1.2514126778376058e-53
Seychelles,8.50522751356291e-54
Angola,7.640908558481783e-54
Jan Mayen,4.9665962097096996e-54
Western Sahara,1.8394919073973813e-55
Cook Is.,1.439348470836079e-58
Kiribati,4.318045412501543e-59
Tonga,1.9690690173205428e-59
Algeria,4.3551990882461706e-60
Joint regime Colombia/Jamaica,2.4381563690027206e-60
Joint regime Japan/Korea,2.0981358041352999e-60
South Korea,2.0981358041352999e-60
Senegal,1.2526571541895106e-60
Jamaica,1.0158991326918519e-60
Mauritania,8.190851905995687e-61
China,6.993786015730449e-61
Turks & Caicos Is.,4.975832495711573e-61
Vanuatu,2.317737554500329e-61
Madagascar,5.817361252786717e-63
Mauritius,1.811162931912983e-63
British Indian Ocean Territory,1.375327357651503e-63
The Gambia,3.81879835203423e-64
Pakistan,3.515774294093334e-64
Joint development area Australia/East Timor,3.475542030571565e-64
Maldives,3.0946336377199454e-64
India,2.8163075934022897e-64
Somalia,2.583860121764574e-64
Yemen,2.4485562744915777e-64
Oman,2.42694959065842e-64
Sri Lanka,2.393373565823119e-64
Guinea-Bissau,2.0545630278103793e-64
Sudan,2.0273735011261585e-64
Cape Verde,1.6945720271581262e-64
Disputed Kenya/Somalia,1.6670254877417784e-64
Bangladesh,1.608659977232614e-64
Cocos Is.,1.5789934999746248e-64
Thailand,1.2487602797514237e-64
Disputed Western Sahara/Mauritania,1.1816833303034269e-64
Christmas I.,1.0694942932406866e-64
Kenya,9.834180519338706e-65
Mayotte,9.58418458781632e-65
Tanzania,8.310529450082938e-65
Comoros,7.695450553218407e-65
Myanmar,7.27847437932949e-65
Cambodia,4.9944497846179875e-65
Iran,4.224470423917576e-65
Eritrea,4.054911222281051e-65
Malaysia,3.9249021546704305e-65
United Arab Emirates,2.979521959473945e-65
Saudi Arabia,2.252857408344874e-65
Liberia,6.541352337110735e-66
Sierra Leone,6.146910103324435e-66
Suriname,5.351979318531282e-66
Guinea,3.573638243711577e-66
French Guiana,3.5679862551969465e-66
Nicaragua,5.54989108691098e-67
"Virgin Islands, British",4.091022667533092e-67
Puerto Rico,3.996101925992096e-67
Curaçao,7.526640837978182e-69
Belize,5.836227861128199e-69
Qatar,5.553957791021054e-69
Aruba,4.904915215978142e-69
Honduras,4.131694063542098e-69
Bahrain,3.800025101879102e-69
Paracel Islands,3.478373285690747e-69
United States Virgin Islands,2.590795598689643e-69
Haiti,2.509636291833784e-69
Netherlands Antilles,2.472696414463207e-69
Peru,2.428468700179173e-69
Benin,2.249037429898861e-69
Ghana,2.249037429898861e-69
Anguilla,2.1380680299462853e-69
Brunei,2.1244323879733358e-69
Venezuela,2.1126717421617117e-69
Djibouti,2.052750359163821e-69
Vietnam,1.7392509069831183e-69
Fiji,1.7309659601507302e-69
"Bonaire, Sint-Eustasius, Saba",1.5929084797138476e-69
Kuwait,1.5642415303294192e-69
Antigua & Barbuda,9.908968769059558e-70
Spratly Islands,7.967424756621821e-70
American Samoa,6.705484012613236e-70
Timor-Leste,5.837064640124668e-70
Philippines,4.6631193027646826e-70
Nauru,3.3533846476840686e-70
Marshall Is.,2.3163895772643975e-70
Equatorial Guinea,1.893634586209726e-70
St. Kitts & Nevis,1.4592434410518833e-70
Northern Marinana Islands-Guam,1.2552830914777114e-70
Micronesia,1.2379147040279398e-70
Trinidad & Tobago,1.0745110118063597e-70
Gabon,9.175793814658999e-71
Palau,6.265473567588045e-71
Saint Vincent and the Grenadines,6.145571279271631e-71
Guadeloupe,5.779908213788849e-71
Grenada,5.3789814728063035e-71
Dominica,4.641310080157087e-71
St. Lucia,4.466954322148877e-71
Barbados,3.081561959355866e-71
Guyana,2.0956501965446982e-71
Joint regime Nigeria/Sao Tome and Principe,1.4735369957102863e-71
Nigeria,1.4735369957102863e-71
Cameroon,1.4735369957102863e-71
Congo,3.9390087141716873e-72
Sao Tome & Principe,2.5630018890922227e-72
Martinique,1.2852827549009485e-73
Taiwan,1.2852827549009485e-73
Solomon Is.,1.2852827549009485e-73
Tuvalu,1.2852827549009485e-73
"Congo, DRC",1.2852827549009485e-73
Tunisia,4.880275686533697e-87
Cyprus,4.880275686533697e-87
Egypt,4.880275686533697e-87
Israel,4.880275686533697e-87
Libya,4.880275686533697e-87
Greece,4.880275686533697e-87
Albania,4.880275686533697e-87
Bosnia & Herzegovina,4.880275686533697e-87
Croatia,4.880275686533697e-87
Turkey,4.880275686533697e-87
Malta,4.880275686533697e-87
San Marino,4.880275686533697e-87
