sorted_species,vulnerabilities
Bottlenose dolphin,13.874997482086979
Common murre,13.874997482086979
Dusky shark,13.874997482086979
Kemps Ridley turtle,13.874997482086979
Sandbar shark,13.874997482086979
Smooth hammerhead shark,13.874997482086979
West Indian manatee,13.874997482086979
Western gull,13.874997482086979
Australian fur seal,3.357217232548403e-6
Australian sea lion,3.357217232548403e-6
Broadnose sevengill shark,3.357217232548403e-6
Crested tern,3.357217232548403e-6
Flatback turtle,3.357217232548403e-6
Little penguin,3.357217232548403e-6
Long-nosed fur seal,2.4464255948059934e-13
Copper shark,1.0556494442302942e-13
Short-tailed shearwater,1.0515081819795422e-13
Longfin mako shark,3.5188315545321633e-14
Northern Right whale,3.320356803145608e-14
Salmon shark,3.095763836930943e-14
Northern elephant seal,2.6781985886936668e-14
Beluga whale,2.5824997357799192e-14
Ringed seal,1.862176519818799e-14
California sea lion,1.7994200859586484e-14
Bowhead whale,1.699852234411071e-14
Leopard seal,1.4441935258639005e-14
Adelie penguin,1.4232159801245216e-14
Crabeater seal,1.4232159801245216e-14
Weddell seal,1.4232159801245216e-14
Common thresher shark,1.1049952264622337e-14
Polar bear,8.449789497747991e-15
Narwhal,5.557180567373658e-15
Thick-billed murre,4.984701283141548e-15
Common eider,4.62013774692893e-15
Ivory gull,4.3407878516650255e-15
Ross gull,3.820804889076128e-15
Sperm whale,3.157129219205768e-15
Northern fur seal,2.9809051188639258e-15
King eider,2.6282683417775205e-15
Gray whale,2.6229335510555487e-15
Broad-billed prion,2.573691260170659e-32
New Zealand sea lion,1.2868456300853294e-32
Blacktip shark,7.885975448398581e-33
Galapagos sea lion,7.447865701265328e-33
Ascension frigatebird,3.347210051420121e-33
Masked booby,2.629950754687238e-33
Chinstrap penguin,4.0911982420414364e-38
Emperor penguin,4.419226037499064e-39
Macaroni penguin,3.122495431231459e-40
Bullers albatross,1.6562989998441955e-47
Killer whale,4.014283937294262e-48
King penguin,3.971985806017451e-48
Audouins gull,3.1553563624650415e-48
Sandtiger shark,2.4995535803604005e-48
Sei whale,7.904495611618886e-49
Oceanic manta ray,6.748748854842828e-49
Dugong,9.531460848883657e-50
Southern right whale,9.4530470894335e-50
Pelagic thresher shark,2.0736733236659897e-50
Southern elephant seal,3.6348855272850715e-52
Ocean sunfish,5.1347562182700655e-53
Razorbill,3.534285750314616e-53
Manx shearwater,1.2018728527719682e-53
Harbour seal,5.478118015874402e-54
Grey-headed albatross,2.3882694102385148e-54
Wandering albatross,1.4150555451455344e-54
Fin whale,7.13768447593002e-55
South American sea lion,5.913359662234312e-55
Murphys petrel,2.616225866931049e-56
Laysan albatross,8.294949687109161e-57
Black-footed albatross,2.5265506601580574e-57
Scalloped hammerhead shark,2.1764918091744365e-59
Galapagos shark,1.365610905330778e-59
Short-finned pilot whale,2.755428663245341e-61
Porbeagle shark,8.721875343202092e-62
Great hammerhead shark,3.497690502867412e-62
Northern gannet,5.0395758461956034e-65
Bull shark,1.6755509502311258e-65
Northern fulmar,1.3993233196304084e-65
Blue whale,9.049582455812647e-66
Reef manta ray,7.194229368220451e-66
Grey seal,3.982356594476293e-66
Black-browed albatross,3.6149596776456367e-66
Atlantic puffin,1.302871647355037e-67
Scopolis shearwater,9.476502617585298e-75
Sooty shearwater,6.037395586413103e-75
Arctic Herring gull,3.6393007497852426e-75
Streaked shearwater,2.2106582993583602e-76
White shark,1.1181226904323914e-77
Trindade petrel,4.174669000827866e-80
Wedge-tailed shearwater,3.61845881200262e-80
Baraus petrel,1.4760876395143966e-80
Great shearwater,1.183416809705578e-80
White-tailed tropic bird,1.0938757105813699e-80
Olive Ridley turtle,6.512809506287487e-81
Sooty tern,4.1209592602362275e-81
Silky shark,2.9579883302529365e-81
Corys shearwater,5.372110541338933e-82
Blue shark,3.372452052705737e-82
Shortfin mako shark,4.456585612589089e-86
Red-tailed tropic bird,3.1071992218207046e-86
Tiger shark,2.7548957050824846e-86
Hawksbill turtle,1.5332729159751207e-86
Sabines gull,6.696673970982128e-87
Whale shark,2.287733817063143e-87
Green turtle,1.5327609816017647e-87
Oceanic whitetip shark,3.801092556730648e-88
Parasitic jaeger,1.9694971654676012e-88
Humpback whale,1.9278473509232156e-89
Leatherback turtle,3.158884640423781e-91
Loggerhead turtle,2.4646687084206778e-109
